ulog_timestamp_us,time_from_offboard_s,x_m,y_m,x_ref_m,y_ref_m,outside_corridor_m
146404000,2.2399999999999998,1.415950894355774,0.5475450307130814,1.5,0.5333333333333331,0.0
146412000,2.2479999999999998,1.4139271974563599,0.5548538714647293,1.5,0.5399999999999998,0.0
146420000,2.256,1.41195547580719,0.5621465891599655,1.5,0.5466666666666664,0.0
146428000,2.264,1.4100357294082642,0.5694223195314407,1.5,0.5533333333333331,0.0
146436000,2.272,1.408168077468872,0.57668037712574,1.5,0.5599999999999998,0.0
146444000,2.28,1.4063525199890137,0.5839200466871262,1.5,0.5666666666666664,0.0
146452000,2.288,1.4045891761779785,0.5911407023668289,1.5,0.5733333333333331,0.0
146460000,2.296,1.402877926826477,0.5983418077230453,1.5,0.5799999999999998,0.0
146468000,2.304,1.4015154838562012,0.6055070906877518,1.5,0.5866666666666664,0.0
146476000,2.312,1.4001988172531128,0.612650528550148,1.5,0.5933333333333332,0.0
146484000,2.32,1.3989312648773193,0.6197618395090103,1.5,0.5999999999999999,0.0
146492000,2.328,1.397709608078003,0.6268507391214371,1.5,0.6066666666666665,0.0
146500000,2.336,1.3965345621109009,0.6339169293642044,1.5,0.6133333333333332,0.0
146508000,2.344,1.3954062461853027,0.640960231423378,1.5,0.6199999999999999,0.0
146516000,2.352,1.3943248987197876,0.6479806452989578,1.5,0.6266666666666665,0.0
146524000,2.36,1.3932907581329346,0.6549782902002335,1.5,0.6333333333333332,0.0
146532000,2.368,1.3923038244247437,0.6619533449411392,1.5,0.6399999999999999,0.0
146540000,2.376,1.391364574432373,0.6689055114984512,1.5,0.6466666666666665,0.0
146548000,2.384,1.3904739618301392,0.6758337765932083,1.5,0.6533333333333332,0.0
146556000,2.392,1.3895974159240723,0.6827472597360611,1.5,0.6599999999999999,0.0
146564000,2.4,1.3887733221054077,0.6896324306726456,1.5,0.6666666666666665,0.0
146572000,2.408,1.3880035877227783,0.6964867264032364,1.5,0.6733333333333332,0.0
146580000,2.416,1.387290596961975,0.7033075839281082,1.5,0.6799999999999999,0.0
146588000,2.424,1.3868343830108643,0.7101724296808243,1.5,0.6866666666666665,0.0
146596000,2.432,1.3864349126815796,0.7169960886240005,1.5,0.6933333333333332,0.0
146604000,2.44,1.3860950469970703,0.7237759977579117,1.5,0.7,0.0
146612000,2.448,1.3858174085617065,0.7305097132921219,1.5,0.7066666666666666,0.0
146620000,2.456,1.385604977607727,0.7371946722269058,1.5,0.7133333333333333,0.0
146628000,2.464,1.3854771852493286,0.7438274174928665,1.5,0.72,0.0
146636000,2.472,1.3854200839996338,0.7504069358110428,1.5,0.7266666666666666,0.0
146644000,2.48,1.3854364156723022,0.7569309622049332,1.5,0.7333333333333333,0.0
146652000,2.488,1.3855291604995728,0.763397291302681,1.5,0.74,0.0
146660000,2.496,1.385701298713684,0.7698038965463638,1.5,0.7466666666666666,0.0
146668000,2.504,1.3859550952911377,0.7761486917734146,1.5,0.7533333333333333,0.0
146676000,2.512,1.3862935304641724,0.78242988884449,1.5,0.76,0.0
146684000,2.52,1.386718988418579,0.7886456400156021,1.5,0.7666666666666666,0.0
146692000,2.528,1.3872320652008057,0.7947892099618912,1.5,0.7733333333333333,0.0
146700000,2.536,1.3878369331359863,0.8008642345666885,1.5,0.78,0.0
146708000,2.544,1.3885358572006226,0.80686916410923,1.5,0.7866666666666666,0.0
146716000,2.552,1.388645887374878,0.8129391223192215,1.5,0.7933333333333333,0.0
146724000,2.56,1.3888680934906006,0.8189332634210587,1.5,0.8,0.0
146732000,2.568,1.3892040252685547,0.824850395321846,1.5,0.8066666666666666,0.0
146740000,2.576,1.3896548748016357,0.8306895643472672,1.5,0.8133333333333334,0.0
146748000,2.584,1.3902217149734497,0.8364497572183609,1.5,0.8200000000000001,0.0
146756000,2.592,1.3909056186676025,0.8421300798654556,1.5,0.8266666666666667,0.0
146764000,2.6,1.3917064666748047,0.8477240353822708,1.5,0.8333333333333334,0.0
146772000,2.608,1.392626404762268,0.8532368093729019,1.5,0.8400000000000001,0.0
146780000,2.616,1.3936657905578613,0.8586678057909012,1.5,0.8466666666666667,0.0
146788000,2.6239999999999997,1.3948254585266113,0.8640163093805313,1.5,0.853333333333333,0.0
146796000,2.6319999999999997,1.3961060047149658,0.8692819029092789,1.5,0.8599999999999997,0.0
146804000,2.6399999999999997,1.397507905960083,0.8744638711214066,1.5,0.8666666666666664,0.0
146812000,2.6479999999999997,1.399031400680542,0.8795618563890457,1.5,0.8733333333333331,0.0
146820000,2.6559999999999997,1.4006768465042114,0.8845755606889725,1.5,0.8799999999999997,0.0
146828000,2.6639999999999997,1.4024442434310913,0.8895046263933182,1.5,0.8866666666666664,0.0
146836000,2.6719999999999997,1.404317855834961,0.8943708091974258,1.5,0.8933333333333331,0.0
146844000,2.6799999999999997,1.4063016176223755,0.8989789634943008,1.5,0.8999999999999997,0.0
146852000,2.6879999999999997,1.4084084033966064,0.9035036116838455,1.5,0.9066666666666664,0.0
