ulog_timestamp_us,time_from_offboard_s,x_m,y_m,x_ref_m,y_ref_m,outside_corridor_m
485348000,1.192,0.8233765363693237,0.0705350711941719,1.1174999999999997,0.0,0.0
485356000,1.2,0.8344966173171997,0.07058507949113846,1.1249999999999998,0.0,0.0
485364000,1.208,0.8455979824066162,0.07063121348619461,1.1324999999999998,0.0,0.0
485372000,1.216,0.8566808700561523,0.07067335397005081,1.14,0.0,0.0
485380000,1.224,0.867745041847229,0.07071133702993393,1.1474999999999997,0.0,0.0
485388000,1.232,0.8787907361984253,0.07074516266584396,1.1549999999999998,0.0,0.0
485396000,1.24,0.8898179531097412,0.07077472656965256,1.1624999999999999,0.0,0.0
485404000,1.248,0.9008300304412842,0.07079792767763138,1.17,0.0,0.0
485412000,1.256,0.9118237495422363,0.07081671804189682,1.1774999999999998,0.0,0.0
485420000,1.264,0.9227993488311768,0.07083103805780411,1.1849999999999998,0.0,0.0
485428000,1.272,0.9337568283081055,0.0708407536149025,1.1925,0.0,0.0
485436000,1.28,0.9446961879730225,0.07084579020738602,1.2,0.0,0.0
485444000,1.288,0.9556175470352173,0.07084614783525467,1.2074999999999998,0.0,0.0
485452000,1.296,0.9665212631225586,0.07084175199270248,1.2149999999999999,0.0,0.0
485460000,1.304,0.9772219657897949,0.07071853429079056,1.2225,0.0,0.0
485468000,1.3119999999999998,0.9879144430160522,0.07058506458997726,1.2299999999999998,0.0,0.0
485476000,1.3199999999999998,0.9985940456390381,0.0704454705119133,1.2374999999999998,0.0,0.0
485484000,1.3279999999999998,1.0092607736587524,0.07029975205659866,1.2449999999999999,0.0,0.0
485492000,1.3359999999999999,1.0199142694473267,0.07014784961938858,1.2524999999999997,0.0,0.0
485500000,1.3439999999999999,1.0305546522140503,0.06998952478170395,1.26,0.0,0.0
485508000,1.3519999999999999,1.0411815643310547,0.06982476264238358,1.2674999999999996,0.0,0.0
485516000,1.3599999999999999,1.0517950057983398,0.06965339928865433,1.275,0.0,0.0
485524000,1.3679999999999999,1.0623948574066162,0.06947525590658188,1.2824999999999998,0.0,0.0
485532000,1.376,1.0729811191558838,0.06929024308919907,1.29,0.0,0.0
485540000,1.384,1.0835497379302979,0.06909554451704025,1.2974999999999997,0.0,0.0
485548000,1.392,1.094104290008545,0.06889405101537704,1.305,0.0,0.0
485556000,1.4,1.1046446561813354,0.06868570297956467,1.3124999999999998,0.0,0.0
485564000,1.408,1.1151705980300903,0.06847047060728073,1.32,0.0,0.0
485572000,1.416,1.12568199634552,0.06824835389852524,1.3274999999999997,0.0,0.0
485580000,1.424,1.1361786127090454,0.0680193081498146,1.335,0.0,0.0
485588000,1.432,1.14619779586792,0.06752554327249527,1.3424999999999998,0.0,0.0
485596000,1.44,1.1562113761901855,0.06702608615159988,1.35,0.0,0.0
485604000,1.448,1.166218638420105,0.06652092188596725,1.3574999999999997,0.0,0.0
485612000,1.456,1.176210641860962,0.06601589173078537,1.365,0.0,0.0
485620000,1.464,1.186195731163025,0.06550509482622147,1.3724999999999998,0.0,0.0
485628000,1.472,1.1961736679077148,0.06498853117227554,1.3800000000000001,0.0,0.0
485636000,1.48,1.206143856048584,0.06446631997823715,1.3874999999999997,0.0,0.0
